year,g/MW,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Ta,Co,Pb,Mn,Ni
2020,Solar PV,150000000.0,10176000.0,0.0,0.0,0.0,6341800.0,0.0,0.0,0.0,121643.0,0.0,1200.0
2020,Solar PV residential,150000000.0,10176000.0,0.0,0.0,0.0,6341800.0,0.0,0.0,0.0,121643.0,0.0,1200.0
2020,CSP,576235814.3,5500000.0,1351812440.0,0.0,155986667.0,3145804.8,0.0,0.0,0.0,0.0,3850000.0,1370000.0
2020,Wind onshore,121375893.5,868361.91,433953151.8,0.0,0.0,2730547.92,20300.0,0.0,0.0,0.0,56750.0,443833.0
2020,Wind offshore,157942499.0,1438333.333,509133151.8,0.0,0.0,5571450.0,158337.0,0.0,0.0,0.0,56750.0,443833.0
2020,Wave,999819040.9,1319135.915,3146317537.0,76268834.02,0.0,11679886.61,0.0,0.0,0.0,0.0,0.0,0.0
2020,Hydro,70693938.8,0.0,2832619030.0,0.0,0.0,1699075.275,0.0,0.0,0.0,5360.0,1700.0,31000.0
2020,Other Renewables,215682962.5,3596539.049,1025503555.0,0.0,0.0,3897735.599,35727.4,64000.0,0.0,25401.0,793040.0,457973.0
2020,Geothermal,153329574.8,5072383.578,867160658.1,2917325.0,0.0,8689336.521,0.0,0.0,0.0,0.0,0.0,0.0
2020,Hydrogen power,151660094.3,5241283.019,0.0,4883339.623,17075.4717,145666.6038,0.0,0.0,0.0,758113.2075,0.0,0.0
2020,Nuclear,43456666.67,78666.667,235233333.3,0.0,0.0,764800.0,0.0,0.0,121.0,33767.0,438500.0,406500.0
2020,<EMPTY>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Conv. Coal,84600000.0,504252.236,352800000.0,0.0,0.0,1146000.0,0.0,8757.0,115486.0,0.0,3795.0,835815.0
2020,Conv. Oil,72900000.0,600000.0,213360000.0,0.0,0.0,762112.9032,0.0,4756.0,67282.0,0.0,0.0,425782.0
2020,Conv. Natural Gas,4035483.871,376451.613,43029354.84,0.0,0.0,378225.8065,0.0,755.0,19078.0,0.0,27419.0,425782.0
2020,Waste,72900000.0,600000.0,213360000.0,0.0,0.0,762112.9032,0.0,4756.0,67282.0,0.0,0.0,425782.0
2020,IGCC,34900000.0,504252.236,165000000.0,0.0,0.0,1146000.0,0.0,8757.0,115486.0,0.0,3795.0,835815.0
2020,OGCC,72900000.0,600000.0,213360000.0,0.0,0.0,762112.9032,0.0,4756.0,67282.0,0.0,0.0,425782.0
2020,NG CC,28969000.0,652000.0,64624500.0,0.0,0.0,1051282.051,0.0,755.0,19078.0,0.0,27419.0,15750.0
2020,Biomass CC,33420500.0,262500.0,89183500.0,0.0,0.0,762112.9032,0.0,4756.0,67282.0,0.0,0.0,0.0
