time,Cars,Regular Buses,Midi Buses,Heavy Freight Trucks,Medium Freight Trucks,Light Commercial Vehicles,Trains,High Speed Trains,Freight Trains,Passenger Planes,Freight Planes,Bikes,Small Ships,Medium Ships,Large Ships,Very Large Ships,Inland Ships
1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.004545454545454495,0.004545454545454595,0.004545454545454638,0.00454545454198773,0.004545185121321801,0.0,0.0,0.013636363636363539,0.0,0.0,0.0,0.0,0.004545454545454521
2020,0.0,0.0,0.0,0.0,0.009090909090909208,0.009090909090909103,0.009090909090909063,0.009090909083975435,0.009090370242643355,0.0,0.0,0.02727272727272726,0.0,0.0,0.0,0.0,0.009090909090909045
2021,0.0,0.0,0.0,0.0,0.013636363636363662,0.01363636363636368,0.013636363636363736,0.013636363625963167,0.01363555536396514,0.0,0.0,0.04090909090909087,0.0,0.0,0.0,0.0,0.013636363636363561
2022,0.0,0.0,0.0,0.0,0.018181818181818184,0.018181818181818146,0.018181818181818167,0.018181818167951024,0.018180740485286687,0.0,0.0,0.05454545454545458,0.0,0.0,0.0,0.0,0.01818181818181823
2023,0.0,0.0,0.0,0.0,0.02272727272727266,0.022727272727272766,0.022727272727272797,0.022727272709938743,0.022725925606608473,0.0,0.0,0.06818181818181815,0.0,0.0,0.0,0.0,0.02272727272727278
2024,0.0,0.0,0.0,0.0,0.027272727272727372,0.027272727272727247,0.027272727272727244,0.027272727251926476,0.02727111072793004,0.0,0.0,0.08181818181818185,0.0,0.0,0.0,0.0,0.027272727272727303
2025,0.0,0.0,0.0,0.0,0.03181818181818184,0.03181818181818183,0.031818181818181884,0.0318181817939142,0.031816295849251844,0.0,0.0,0.09545454545454544,0.0,0.0,0.0,0.0,0.03181818181818185
2026,0.0,0.0,0.0,0.0,0.03636363636363632,0.03636363636363632,0.03636363636363631,0.036363636335901874,0.036361480970573415,0.0,0.0,0.10909090909090914,0.0,0.0,0.0,0.0,0.03636363636363637
2027,0.0,0.0,0.0,0.0,0.04090909090909082,0.04090909090909091,0.04090909090909096,0.04090909087788964,0.04090666609189519,0.0,0.0,0.1227272727272727,0.0,0.0,0.0,0.0,0.0409090909090909
2028,0.0,0.0,0.0,0.0,0.045454545454545525,0.045454545454545525,0.045454545454545386,0.04545454541987732,0.04545185121321676,0.0,0.0,0.13636363636363624,0.0,0.0,0.0,0.0,0.045454545454545414
2029,0.0,0.0,0.0,0.0,0.05,0.05000000000000002,0.050000000000000044,0.049999999961865035,0.04999703633453856,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.04999999999999996
2030,0.0,0.0,0.0,0.0,0.0545454545454545,0.05454545454545461,0.05454545454545471,0.05454545450385291,0.05454222145586034,0.0,0.0,0.16363636363636375,0.0,0.0,0.0,0.0,0.054545454545454605
2031,0.0,0.0,0.0,0.0,0.0590909090909092,0.059090909090909055,0.059090909090909124,0.05909090904584064,0.05908740657718192,0.0,0.0,0.1772727272727273,0.0,0.0,0.0,0.0,0.05909090909090913
2032,0.0,0.0,0.0,0.0,0.06363636363636367,0.0636363636363637,0.06363636363636374,0.06363636358782833,0.06363259169850369,0.0,0.0,0.19090909090909086,0.0,0.0,0.0,0.0,0.06363636363636369
2033,0.0,0.0,0.0,0.0,0.06818181818181816,0.06818181818181814,0.06818181818181819,0.06818181812981607,0.06817777681982526,0.0,0.0,0.2045454545454546,0.0,0.0,0.0,0.0,0.06818181818181822
2034,0.0,0.0,0.0,0.0,0.07272727272727267,0.07272727272727281,0.07272727272727283,0.0727272726718038,0.07272296194114705,0.0,0.0,0.21818181818181812,0.0,0.0,0.0,0.0,0.0727272727272727
2035,0.0,0.0,0.0,0.0,0.07727272727272738,0.07727272727272723,0.0772727272727273,0.0772727272137915,0.07726814706246862,0.0,0.0,0.23181818181818187,0.0,0.0,0.0,0.0,0.07727272727272723
2036,0.0,0.0,0.0,0.0,0.08181818181818182,0.08181818181818187,0.08181818181818194,0.08181818175577923,0.08181333218379039,0.0,0.0,0.24545454545454543,0.0,0.0,0.0,0.0,0.08181818181818179
2037,0.0,0.0,0.0,0.0,0.08636363636363632,0.08636363636363634,0.08636363636363634,0.0863636362977671,0.08635851730511199,0.0,0.0,0.25909090909090915,0.0,0.0,0.0,0.0,0.08636363636363643
2038,0.0,0.0,0.0,0.0,0.09090909090909102,0.09090909090909091,0.090909090909091,0.09090909083975483,0.09090370242643378,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909098
2039,0.0,0.0,0.0,0.0,0.09545454545454551,0.09545454545454554,0.09545454545454543,0.09545454538174253,0.09544888754775555,0.0,0.0,0.28636363636363626,0.0,0.0,0.0,0.0,0.09545454545454547
2040,0.0,0.0,0.0,0.0,0.1,0.1,0.10000000000000009,0.09999999992373027,0.0999940726690771,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.10000000000000002
2041,0.0,0.0,0.0,0.0,0.09999999999999999,0.10000000000000003,0.1000000000000001,0.09999999992373027,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2042,0.0,0.0,0.0,0.0,0.10000000000000002,0.1,0.10000000000000009,0.09999999992373024,0.09999407266907712,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.10000000000000002
2043,0.0,0.0,0.0,0.0,0.09999999999999999,0.1,0.10000000000000007,0.09999999992373024,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2044,0.0,0.0,0.0,0.0,0.09999999999999999,0.10000000000000002,0.10000000000000009,0.09999999992373027,0.09999407266907712,0.0,0.0,0.29999999999999993,0.0,0.0,0.0,0.0,0.10000000000000002
2045,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.10000000000000009,0.09999999992373027,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000003
2046,0.0,0.0,0.0,0.0,0.1,0.1,0.10000000000000007,0.09999999992373024,0.09999407266907713,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.10000000000000002
2047,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.10000000000000007,0.09999999992373029,0.0999940726690771,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1
2048,0.0,0.0,0.0,0.0,0.10000000000000002,0.1,0.1000000000000001,0.09999999992373027,0.09999407266907712,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.10000000000000003
2049,0.0,0.0,0.0,0.0,0.09999999999999999,0.09999999999999996,0.10000000000000009,0.09999999992373027,0.09999407266907712,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.10000000000000003
2050,0.0,0.0,0.0,0.0,0.1,0.10000000000000002,0.1000000000000001,0.09999999992373024,0.09999407266907709,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2051,0.0,0.0,0.0,0.0,0.09999999999999999,0.1,0.10000000000000009,0.09999999992373024,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2052,0.0,0.0,0.0,0.0,0.1,0.1,0.10000000000000007,0.09999999992373028,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1
2053,0.0,0.0,0.0,0.0,0.09999999999999999,0.1,0.10000000000000009,0.09999999992373022,0.09999407266907712,0.0,0.0,0.29999999999999993,0.0,0.0,0.0,0.0,0.10000000000000002
2054,0.0,0.0,0.0,0.0,0.10000000000000002,0.09999999999999996,0.10000000000000007,0.09999999992373024,0.09999407266907709,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000003
2055,0.0,0.0,0.0,0.0,0.10000000000000002,0.10000000000000002,0.10000000000000007,0.09999999992373024,0.0999940726690771,0.0,0.0,0.29999999999999993,0.0,0.0,0.0,0.0,0.10000000000000002
2056,0.0,0.0,0.0,0.0,0.1,0.10000000000000002,0.10000000000000007,0.09999999992373024,0.09999407266907712,0.0,0.0,0.29999999999999993,0.0,0.0,0.0,0.0,0.10000000000000003
2057,0.0,0.0,0.0,0.0,0.10000000000000003,0.09999999999999999,0.1000000000000001,0.09999999992373022,0.09999407266907713,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2058,0.0,0.0,0.0,0.0,0.1,0.1,0.10000000000000007,0.09999999992373024,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000006
2059,0.0,0.0,0.0,0.0,0.09999999999999999,0.1,0.10000000000000009,0.09999999992373024,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000002
2060,0.0,0.0,0.0,0.0,0.1,0.1,0.1000000000000001,0.09999999992373022,0.09999407266907712,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.10000000000000003
